address_area_1,address_area_2,address_number,date,price,property_type
The Green,", Coolroe Meadows, ",5 ,2020-10-01,"€280,000",Second-Hand
Beech Park,", ",69 ,2021-02-23,"€252,500",Second-Hand
Church View,", ",43 ,2021-02-16,"€112,500",Second-Hand
Coopers Grange,", Old Quarter, ",73 ,2021-02-15,"€347,000",Second-Hand
The Crescent,", ",54 ,2021-02-09,"€255,000",Second-Hand
Westcourt Heights,", ",37 ,2021-02-05,"€285,000",Second-Hand
The Meadows,", West Village, ",9 ,2021-02-04,"€250,000",Second-Hand
The Lawn,", Coolroe Meadows, ",79 ,2018-05-31,"€320,000",Second-Hand
The Cloisters,", Link Road, ",41 ,2018-05-30,"€265,000",Second-Hand
The Crescent,", Old Fort Road, ",13 ,2018-05-29,"€126,571",Second-Hand
The Grove Wyndham Downs,", ",22 ,2018-05-25,"€287,000",Second-Hand
The Square,", Highfield Park, ",26 ,2018-05-25,"€251,000",Second-Hand
Tara An Caislan,", ",Apartment 14 ,2018-05-24,"€220,000",Second-Hand
Millers Court,", Old Quarter, ",10 ,2018-05-22,"€250,000",Second-Hand
The Willows,", ",201 ,2018-05-17,"€223,000",Second-Hand
Millers Court,", Old Quarter, ",24 ,2021-07-13,"€463,000",Second-Hand
The Cloisters,", ",63 ,2021-07-08,"€330,000",Second-Hand
Leslies Arch,", Old Quarter, ",13 ,2021-07-06,"€425,000",Second-Hand
Tudor Grove,", ",8 ,2021-07-05,"€245,000",Second-Hand
Church View,", ",57 ,2021-07-02,"€321,000",Second-Hand
Leecourt,", ",132 ,2021-07-01,"€231,000",Second-Hand
The Avenue,", Coolroe Heights, ",11 ,2018-10-17,"€425,000",New Build
Powdermill Meadows,", East Side, ",2 ,2018-10-17,"€337,500",New Build
Powdermill Meadow,", East Side, ",3 ,2018-10-17,"€337,500",New Build
Millers Court,", Old Quarter, ",56 ,2018-10-16,"€345,000",New Build
Millers Court,", ",58 ,2018-10-16,"€345,000",New Build
Millers Court,", Old Quarter, ",9 ,2019-12-09,"€325,000",Second-Hand
Castle Avenue,", Muskerry Estate, ",11 ,2019-12-05,"€255,000",Second-Hand
Coopers Grange,", Old Quarter, ",37 ,2019-12-05,"€400,000",New Build
Coopers Grange,", Old Quarter, ",2 ,2019-12-04,"€475,000",New Build
The Heathers,", Classis Lake, ",24 ,2019-12-04,"€277,500",Second-Hand
Westgrove,", ",17 ,2019-11-29,"€363,000",Second-Hand
Beech Park,", ",98 ,2019-05-03,"€232,000",Second-Hand
An Caislean,", ",70 ,2019-04-30,"€250,000",Second-Hand
The Avenue,", Coolroe Heights, ",12 ,2019-04-30,"€430,000",New Build
Coopers Grange,", Old Quarter, ",23 ,2019-04-29,"€350,000",New Build
Innishmore Court,", ",13 ,2019-04-29,"€53,429",Second-Hand
Cranford Pines,", ",10 ,2019-04-17,"€300,000",Second-Hand
Coopers Grange,", Old Quarter, ",24 ,2019-04-17,"€349,999",New Build
Coopers Grange,", Old Quarter, ",26 ,2019-01-09,"€350,000",New Build
Leslies Arch,", Old Quarter, ",131 ,2019-01-07,"€340,000",Second-Hand
Coopers Grange,", Old Quarter, ",25 ,2019-01-04,"€350,000",New Build
Old Quarry,", Coolroe, ",18 ,2018-12-21,"€226,000",Second-Hand
The Abbey,", Classes Lake, ",29 ,2018-12-21,"€205,000",Second-Hand
Leslies Arch,", Old Quater, ",33 ,2018-12-21,"€412,800",New Build
The Square,", Highfield Park, ",30 ,2018-12-21,"€250,000",Second-Hand
The Cloisters,", ",66 ,2020-04-06,"€280,000",Second-Hand
Carrigdene,", ",8 ,2020-04-02,"€290,000",Second-Hand
Pine Walk,", Muskerry Estate, ",130 ,2020-03-31,"€270,000",Second-Hand
Maglin Green,", ",3 ,2020-03-30,"€479,999",New Build
Rosewood,", ",166 ,2020-03-26,"€250,000",Second-Hand
The Willows,", Carriglee, ",208 ,2019-08-16,"€256,000",Second-Hand
The Cloisters,", ",102 ,2019-08-14,"€287,000",Second-Hand
Aylsbury Lawn,", ",4 ,2019-08-12,"€360,000",Second-Hand
Oldcourt,", Greenfields, ",94 ,2019-08-12,"€370,000",Second-Hand
Station Cross,,", ",2019-08-12,"€300,000",Second-Hand
An Caislean View,", An Caislean, ",147 ,2020-10-01,"€286,000",Second-Hand
Granary Court The Maltings,", ",28 ,2020-09-28,"€210,000",Second-Hand
Moneen,,", Kilnaglory, ",2020-09-25,"€590,000",Second-Hand
Church View,", ",21 ,2020-09-24,"€280,000",Second-Hand
Innishmore Lawn,", ",5 ,2020-09-18,"€175,000",Second-Hand
Daffodil Fields,", ",29 ,2020-09-10,"€430,000",Second-Hand
Leslies Arch,", Old Quarter, ",114 ,2021-02-04,"€280,000",Second-Hand
Time Square,", ","Apartment 4, ",2021-02-04,"€180,000",Second-Hand
An Caislean Way,", ",118 ,2021-01-28,"€270,000",Second-Hand
Glincool Gardens,", ",12 ,2021-01-26,"€305,000",Second-Hand
Waltham Abbey,", Old Quarter, ",28 ,2021-01-21,"€344,900",Second-Hand
Rosewood Estate,", ",202 ,2021-01-20,"€306,000",Second-Hand
Millers Court,", Old Quarter, ",66 ,2018-05-16,"€385,000",New Build
Millers Court,", Old Quarters, ",15 ,2018-05-14,"€258,000",Second-Hand
Parknamore,", ",11 ,2018-04-30,"€280,000",Second-Hand
Mill Range,", Powdermills, ",15 ,2018-04-26,"€230,000",Second-Hand
Glincool Crescent,", ",15 ,2018-04-23,"€295,000",Second-Hand
Newgrange,", An Caislean, ",8 ,2021-06-25,"€222,000",Second-Hand
The Brambles,", Classis Lake, ",7 ,2021-06-16,"€400,000",Second-Hand
Willowgrove,", Coolroe Heights, ",48 ,2021-06-11,"€340,000",Second-Hand
Woodberry,", Greenfields, ",11 ,2021-06-04,"€755,000",Second-Hand
Coopers Grange,", Old Quarter, ",69 ,2021-06-03,"€340,000",Second-Hand
The Cedars,", Classis Lake, ",29 ,2018-10-15,"€357,000",Second-Hand
Bridgewater,", Carrigrohane, ",16 ,2018-10-11,"€435,000",Second-Hand
Millers Court,", Old Quarter, ",108 ,2018-09-27,"€460,000",New Build
Glencool Villas,", ",11 ,2018-09-27,"€304,000",Second-Hand
The Green,", Coolroe Meadows, ",61 ,2018-09-26,"€111,500",Second-Hand
Coopers Grange Old Quarter,", ",58 ,2018-09-25,"€267,000",Second-Hand
Beech Park,", ",67 ,2018-09-18,"€340,000",Second-Hand
Coopers Grange,", Old Quarter, ",3 ,2019-11-25,"€474,999",New Build
Castlepark,", ",6 ,2019-11-20,"€199,000",Second-Hand
Rosewood Estate,", ",84 ,2019-11-18,"€350,000",Second-Hand
The Cloisters,", ",88 ,2019-11-14,"€282,000",Second-Hand
Manor Hill,", ",3 ,2019-11-13,"€268,000",Second-Hand
Newgrange,", An Caislean, ",16 ,2019-11-13,"€215,000",Second-Hand
The Crescent,", Old Fort Road, ",71 ,2019-04-12,"€270,000",Second-Hand
Island Way,", Muskerry Estate, ",19 ,2019-04-05,"€240,000",Second-Hand
Coopers Grange,", Old Quarter, ",27 ,2019-04-03,"€397,250",New Build
Westcourt Heights,", ",14 ,2019-03-29,"€245,000",Second-Hand
Coopers Grange,", Old Quarter, ",33 ,2019-03-29,"€329,999",New Build
The Quadrants,", Ballincollig Town Centre, ",1 ,2018-12-20,"€21,365,638",Second-Hand
The Crescent,", Old Fort Road, ",10 ,2018-12-20,"€7,841,410",Second-Hand
An Caislean,", ",186 ,2018-12-19,"€270,000",Second-Hand
Willow Grove,", ",26 ,2018-12-19,"€420,000",Second-Hand
Coopers Grange,", The Old Quarter, ",72 ,2018-12-19,"€262,000",Second-Hand
Woodview,", Fionn Laoi, ",11 ,2018-12-18,"€340,000",New Build
Coopers Grange,", Old Quarter, ",28 ,2018-12-18,"€355,000",New Build
The Lawn,", Coolroe Meadows, ",71 ,2020-03-20,"€330,000",Second-Hand
Coolroe,,", ",2020-03-20,"€225,000",Second-Hand
Aylsbury,", ",21 ,2020-03-19,"€320,000",Second-Hand
Glincool Grove,", ",11 ,2020-03-18,"€303,000",Second-Hand
Carriganarra,", ",7 ,2020-03-12,"€316,000",Second-Hand
Maglin Green,", ",2 ,2020-03-11,"€480,000",New Build
Shalimar Court,", Poulavone, ",9 ,2020-03-10,"€220,000",Second-Hand
Westcourt,", ",45 ,2020-03-06,"€308,000",Second-Hand
Millers Court,", Old Quater, ",30 ,2020-03-03,"€397,619",New Build
Beech Park,", ",142 ,2020-02-28,"€250,000",Second-Hand
Willowgrove,", Coolroe Heights, ",2 ,2019-08-09,"€400,000",Second-Hand
Leslies Arch,", Old Quarter, ",78 ,2019-08-08,"€370,000",Second-Hand
Manor Hill,", ",48 ,2019-08-06,"€355,000",Second-Hand
Tara,", ",17 ,2019-08-06,"€218,000",Second-Hand
Oldcourt,", ",99 ,2019-08-06,"€349,000",Second-Hand
The Avenue,", Highfield Park, ",3 ,2019-08-04,"€281,000",Second-Hand
Fern Way,", Classis Lake, ",59 ,2019-08-02,"€221,000",Second-Hand
Woodberry,", Greenfields, ",46 ,2019-08-01,"€560,000",Second-Hand
Leslies Arch,", Old Quarter, ",112 ,2019-07-31,"€335,000",Second-Hand
The Close,", Coolroe Meadows, ",17 ,2019-07-26,"€325,000",Second-Hand
Cedardale,", ",105 ,2020-09-04,"€245,000",Second-Hand
Rosewood Estate,", ",44 ,2020-09-04,"€224,000",Second-Hand
Aylsbury,", ",41 ,2020-09-03,"€295,000",Second-Hand
Beech Park,", ",48 ,2020-09-01,"€223,000",Second-Hand
Barley Court,", The Maltings, ",12 Apartment ,2020-08-20,"€190,000",Second-Hand
Leslies Arch,", Old Quarter, ",64 ,2021-01-20,"€256,796",Second-Hand
Maglin Green,", ",11 ,2021-01-18,"€299,981",New Build
Distillery Court,", The Maltings, ",48 ,2021-01-18,"€220,000",Second-Hand
Limeworth,", Killumney Road, ",16 ,2021-01-07,"€755,000",Second-Hand
Seiceamair,,", Coolroe, ",2021-01-07,"€425,000",Second-Hand
Maglin Green,", ",10 ,2021-01-05,"€393,000",New Build
Churchview,", ",2 ,2020-12-21,"€270,000",Second-Hand
Cranford Pines,", ",20 ,2020-12-21,"€290,000",Second-Hand
An Caislean,", ",112 ,2018-04-20,"€266,000",Second-Hand
Daffodil Fields,", ",45 ,2018-04-20,"€355,000",Second-Hand
Tus Abhaile,", ",3 ,2018-04-19,"€203,500",Second-Hand
Millers Court,", Old Quarter, ",67 ,2018-04-19,"€385,000",New Build
Oak Avenue,", Classis Lake, ",10 ,2018-04-18,"€245,000",Second-Hand
Millers Court,", Old Quarter, ",70 ,2018-04-18,"€385,000",New Build
Leslies Arch,", Old Quarter, ",2 ,2018-04-11,"€467,620",New Build
Coopers Grange,", Old Quarter, ",82 ,2018-04-06,"€339,000",Second-Hand
Coolroe Heights,", ",33 ,2018-04-05,"€252,000",Second-Hand
