title,island,locality,price,beds,size,link,date
6 Bedroom Duplex in Felanitx,Mallorca,Felanitx,80000,6,284,https://www.kyero.com/en/property/7079101-apartment-for-sale-felanitx,2020-09-19
2 Bedroom Apartment in Cala Millor,Mallorca,Cala Millor,145000,2,50,https://www.kyero.com/en/property/7796397-apartment-for-sale-cala-millor,2020-09-19
2 Bedroom Apartment in Cala Bona,Mallorca,Cala Bona,149000,2,110,https://www.kyero.com/en/property/7327725-apartment-for-sale-cala-bona,2020-09-19
2 Bedroom Apartment in Cala D'or,Mallorca,Cala D'or,149000,2,87,https://www.kyero.com/en/property/7977414-apartment-for-sale-cala-d-or,2020-09-19
3 Bedroom Apartment in Palma de Majorca,Mallorca,Palma de Majorca,47600,3,76,https://www.kyero.com/en/property/7967591-apartment-for-sale-palma-de-majorca,2020-09-19
3 Bedroom Apartment in Maria De La Salut,Mallorca,Maria De La Salut,91100,3,116,https://www.kyero.com/en/property/7969072-apartment-for-sale-maria-de-la-salut,2020-09-19
2 Bedroom Apartment in Manacor,Mallorca,Manacor,135000,2,61,https://www.kyero.com/en/property/7921433-apartment-for-sale-manacor,2020-09-19
3 Bedroom Apartment in Sa Pobla,Mallorca,Sa Pobla,135000,3,108,https://www.kyero.com/en/property/7921394-apartment-for-sale-sa-pobla,2020-09-19
3 Bedroom Apartment in Manacor,Mallorca,Manacor,90800,3,80,https://www.kyero.com/en/property/7966294-apartment-for-sale-manacor,2020-09-19
2 Bedroom Apartment in Palma de Majorca,Mallorca,Palma de Majorca,144800,2,52,https://www.kyero.com/en/property/7854642-apartment-for-sale-palma-de-majorca,2020-09-19
2 Bedroom Apartment in Llucmajor,Mallorca,Llucmajor,119000,2,58,https://www.kyero.com/en/property/7821262-apartment-for-sale-llucmajor,2020-09-19
2 Bedroom Apartment in Manacor,Mallorca,Manacor,117000,2,75,https://www.kyero.com/en/property/7865732-apartment-for-sale-manacor,2020-09-19
2 Bedroom Apartment in Porreres,Mallorca,Porreres,99000,2,70,https://www.kyero.com/en/property/7921073-apartment-for-sale-porreres,2020-09-19
2 Bedroom Apartment in Porto Cristo,Mallorca,Porto Cristo,127000,2,83,https://www.kyero.com/en/property/7333428-apartment-for-sale-porto-cristo,2020-09-19
3 Bedroom Apartment in Manacor,Mallorca,Manacor,110000,3,70,https://www.kyero.com/en/property/7766954-apartment-for-sale-manacor,2020-09-19
2 Bedroom Apartment in Inca,Mallorca,Inca,119900,2,98,https://www.kyero.com/en/property/7921392-apartment-for-sale-inca,2020-09-19
2 Bedroom Apartment in Palma de Majorca,Mallorca,Palma de Majorca,145000,2,86,https://www.kyero.com/en/property/7873790-apartment-for-sale-palma-de-majorca,2020-09-19
2 Bedroom Apartment in Porto Cristo,Mallorca,Porto Cristo,135000,2,55,https://www.kyero.com/en/property/7708163-apartment-for-sale-porto-cristo,2020-09-19
3 Bedroom Apartment in Palma de Majorca,Mallorca,Palma de Majorca,120000,3,90,https://www.kyero.com/en/property/7710659-apartment-for-sale-palma-de-majorca,2020-09-19
2 Bedroom Apartment in Felanitx,Mallorca,Felanitx,145000,2,95,https://www.kyero.com/en/property/7781831-apartment-for-sale-felanitx,2020-09-19
3 Bedroom Apartment in Inca,Mallorca,Inca,135000,3,91,https://www.kyero.com/en/property/7706550-apartment-for-sale-inca,2020-09-19
3 Bedroom Apartment in Palma de Majorca,Mallorca,Palma de Majorca,149000,3,70,https://www.kyero.com/en/property/7763671-apartment-for-sale-palma-de-majorca,2020-09-19
3 Bedroom Apartment in Palma de Majorca,Mallorca,Palma de Majorca,149900,3,104,https://www.kyero.com/en/property/7921036-apartment-for-sale-palma-de-majorca,2020-09-19
2 Bedroom Apartment in Magalluf,Mallorca,Magalluf,135000,2,68,https://www.kyero.com/en/property/7445566-apartment-for-sale-magalluf,2020-09-19
3 Bedroom Apartment in Manacor,Mallorca,Manacor,139900,3,122,https://www.kyero.com/en/property/7921141-apartment-for-sale-manacor,2020-09-19
3 Bedroom Apartment in Palma de Majorca,Mallorca,Palma de Majorca,78000,3,67,https://www.kyero.com/en/property/7238939-apartment-for-sale-palma-de-majorca,2020-09-19
2 Bedroom Apartment in Felanitx,Mallorca,Felanitx,139000,2,100,https://www.kyero.com/en/property/7616959-apartment-for-sale-felanitx,2020-09-19
3 Bedroom Apartment in Porto Cristo,Mallorca,Porto Cristo,130000,3,89,https://www.kyero.com/en/property/6957757-apartment-for-sale-porto-cristo,2020-09-19
2 Bedroom Penthouse in Cala Millor,Mallorca,Cala Millor,128000,2,60,https://www.kyero.com/en/property/7749667-apartment-for-sale-cala-millor,2020-09-19
3 Bedroom Apartment in Palma de Majorca,Mallorca,Palma de Majorca,79500,3,88,https://www.kyero.com/en/property/7322656-apartment-for-sale-palma-de-majorca,2020-09-19
2 Bedroom Apartment in L'Arenal,Mallorca,L'Arenal,147000,2,70,https://www.kyero.com/en/property/7080467-apartment-for-sale-l-arenal,2020-09-19
3 Bedroom Apartment in Palma de Majorca,Mallorca,Palma de Majorca,102342,3,80,https://www.kyero.com/en/property/7963726-apartment-for-sale-palma-de-majorca,2020-09-19
3 Bedroom Apartment in Felanitx,Mallorca,Felanitx,131000,3,113,https://www.kyero.com/en/property/6598107-apartment-for-sale-felanitx,2020-09-19
3 Bedroom Apartment in Llucmajor,Mallorca,Llucmajor,149216,3,97,https://www.kyero.com/en/property/7909457-apartment-for-sale-llucmajor,2020-09-19
3 Bedroom Apartment in Manacor,Mallorca,Manacor,90000,3,101,https://www.kyero.com/en/property/7303127-apartment-for-sale-manacor,2020-09-19
2 Bedroom Apartment in Port D'alcudia,Mallorca,Port D'alcudia,139000,2,70,https://www.kyero.com/en/property/7834888-apartment-for-sale-port-d-alcudia,2020-09-19
2 Bedroom Apartment in Porto Cristo,Mallorca,Porto Cristo,147000,2,94,https://www.kyero.com/en/property/6077900-apartment-for-sale-porto-cristo,2020-09-19
4 Bedroom Apartment in Manacor,Mallorca,Manacor,93100,4,123,https://www.kyero.com/en/property/7865755-apartment-for-sale-manacor,2020-09-19
3 Bedroom Apartment in Sa Pobla,Mallorca,Sa Pobla,149900,3,108,https://www.kyero.com/en/property/7921216-apartment-for-sale-sa-pobla,2020-09-19
4 Bedroom Apartment in Manacor,Mallorca,Manacor,108000,4,125,https://www.kyero.com/en/property/6735839-apartment-for-sale-manacor,2020-09-19
2 Bedroom Apartment in Palma de Majorca,Mallorca,Palma de Majorca,140000,2,105,https://www.kyero.com/en/property/7640990-apartment-for-sale-palma-de-majorca,2020-09-19
3 Bedroom Apartment in Inca,Mallorca,Inca,107000,3,72,https://www.kyero.com/en/property/7920714-apartment-for-sale-inca,2020-09-19
3 Bedroom Apartment in Palma de Majorca,Mallorca,Palma de Majorca,49300,3,100,https://www.kyero.com/en/property/7799814-apartment-for-sale-palma-de-majorca,2020-09-19
2 Bedroom Apartment in Sa Pobla,Mallorca,Sa Pobla,140000,2,130,https://www.kyero.com/en/property/6168357-apartment-for-sale-sa-pobla,2020-09-19
3 Bedroom Apartment in Palma de Majorca,Mallorca,Palma de Majorca,115000,3,68,https://www.kyero.com/en/property/7663331-apartment-for-sale-palma-de-majorca,2020-09-19
3 Bedroom Penthouse in Palma de Majorca,Mallorca,Palma de Majorca,128000,3,81,https://www.kyero.com/en/property/7920919-apartment-for-sale-palma-de-majorca,2020-09-19
3 Bedroom Apartment in S'illot-Cala Morlanda,Mallorca,S'illot-Cala Morlanda,142500,3,90,https://www.kyero.com/en/property/7512831-apartment-for-sale-s-illot-cala-morlanda,2020-09-19
2 Bedroom Apartment in L'Arenal,Mallorca,L'Arenal,142000,2,60,https://www.kyero.com/en/property/7258195-apartment-for-sale-l-arenal,2020-09-19
4 Bedroom Apartment in Inca,Mallorca,Inca,139900,4,124,https://www.kyero.com/en/property/7920767-apartment-for-sale-inca,2020-09-19
2 Bedroom Apartment in Campos,Mallorca,Campos,139900,2,83,https://www.kyero.com/en/property/7920546-apartment-for-sale-campos,2020-09-19
2 Bedroom Apartment in Inca,Mallorca,Inca,130000,2,98,https://www.kyero.com/en/property/6595352-apartment-for-sale-inca,2020-09-19
2 Bedroom Apartment in Magalluf,Mallorca,Magalluf,129000,2,59,https://www.kyero.com/en/property/7629018-apartment-for-sale-magalluf,2020-09-19
2 Bedroom Penthouse in Palma de Majorca,Mallorca,Palma de Majorca,135000,2,51,https://www.kyero.com/en/property/6772263-apartment-for-sale-palma-de-majorca,2020-09-19
2 Bedroom Apartment in Canyamel,Mallorca,Canyamel,149000,2,80,https://www.kyero.com/en/property/5733435-apartment-for-sale-canyamel,2020-09-19
2 Bedroom Apartment in Capdepera,Mallorca,Capdepera,145000,2,69,https://www.kyero.com/en/property/5777984-apartment-for-sale-capdepera,2020-09-19
3 Bedroom Apartment in Palma de Majorca,Mallorca,Palma de Majorca,83000,3,54,https://www.kyero.com/en/property/7866781-apartment-for-sale-palma-de-majorca,2020-09-19
2 Bedroom Penthouse in Manacor,Mallorca,Manacor,126000,2,95,https://www.kyero.com/en/property/7705945-apartment-for-sale-manacor,2020-09-19
3 Bedroom Apartment in Palma de Majorca,Mallorca,Palma de Majorca,130000,3,136,https://www.kyero.com/en/property/7535898-apartment-for-sale-palma-de-majorca,2020-09-19
2 Bedroom Apartment in Llucmajor,Mallorca,Llucmajor,126000,2,86,https://www.kyero.com/en/property/6948455-apartment-for-sale-llucmajor,2020-09-19
2 Bedroom Apartment in Arta,Mallorca,Arta,130000,2,318,https://www.kyero.com/en/property/7763748-apartment-for-sale-arta,2020-09-19
