country,skill_sets,top_skills
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['Project Management', 'Business Analysis', 'Analytics', 'Social Media', 'Business Intelligence', 'Strategy', 'Online Advertising', 'SEM', 'Sales']}, {'\n  Tools & Technologies': ['Salesforce.com', 'Python', 'HTML', 'CSS']}, {'\n  Interpersonal Skills': ['Cross-functional Team Leadership']}]","Data Analysis,SQL,Microsoft Excel"
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['Statistics', 'Economics']}, {'\n  Tools & Technologies': ['Stata']}]","Data Analysis,Analytics,SQL"
,,
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['Data Analysis', 'Analysis', 'Strategy', 'Management Consulting', 'Business Strategy', 'Quantitative Analytics', 'Financial Modeling', 'Business Analysis', 'Segmentation', 'Statistical Modeling', 'Data Mining', 'Statistics', 'Finance', 'Risk Management']}, {'\n  Tools & Technologies': ['Microsoft Excel', 'SQL', 'Microsoft Office', 'R', 'PowerPoint', 'Tableau', 'VBA', 'Microsoft SQL Server']}, {'\n  Other Skills': ['Credit Card Analytics', 'Customer Analysis']}]","Analytics,Python,Data Analysis"
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['Mathematical Modeling', 'Simulations', 'Machine Learning', 'Algorithms', 'Statistics', 'Sensors', 'Robotics', 'Optimization', 'Programming']}, {'\n  Tools & Technologies': ['Matlab', 'SQL', 'C++', 'R', 'Mathematica']}, {'\n  Other Skills': ['Dynamical Systems', 'Complex Systems', 'Large Scale Systems', 'MEMS', 'Control Theory', 'Dynamic Simulation', 'Social Network Analysis', 'Computational Mathematics', 'Nonlinear Dynamics']}]","Python,Numerical Analysis,Data Analysis"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Data Analysis', 'Data Mining', 'Economics', 'Android Development', 'Social Media']}, {'\n  Tools & Technologies': ['Java', 'Python', 'SQL', 'Stata', 'Microsoft Word', 'Microsoft Office']}, {'\n  Interpersonal Skills': ['Teaching']}]","R,Statistics,Research"
"San Mateo, California","[{'\n  Industry Knowledge': ['Data Mining', 'Fraud Investigations', 'Claims Management', 'Social Media', 'Data Visualization', 'Image Editing', 'Digital Imaging', 'Image Manipulation', 'Sports', 'Machine Learning']}, {'\n  Tools & Technologies': ['Pandas', 'Microsoft Excel', 'Photoshop', 'Adobe Creative Suite', 'Mac', 'Instagram']}, {'\n  Interpersonal Skills': ['Management', 'Leadership', 'Team Leadership']}, {'\n  Other Skills': ['Identity Theft', 'Web Scraping', 'Fraud Detection', 'Feature Extraction', 'Scikit-Learn', 'Assets Recovery', 'flask', 'Verification']}]","Data Science,MySQL,Identity Verification"
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['Statistics', 'Data Mining', 'Econometrics']}, {'\n  Tools & Technologies': ['SAS']}]","R,Data Analysis,Stata"
"Stanford, California","[{'\n  Industry Knowledge': []}, {'\n  Tools & Technologies': ['CSS', 'MySQL']}]","Java,Ruby on Rails,JavaScript"
"Madison, Wisconsin Area","[{'\n  Industry Knowledge': ['Statistical Modeling', 'Machine Learning', 'Signal Processing', 'Big Data', 'Data Analysis']}, {'\n  Tools & Technologies': ['SQL', 'Java', 'C++', 'Databases', 'MySQL']}, {'\n  Other Skills': ['Linear Models', 'Spectral Analysis', 'Collaborative Filtering']}]","Statistics,R,Python"
"Menlo Park, California","[{'\n  Tools & Technologies': ['Visual Basic']}, {'\n  Other Skills': ['Monte Carlo Simulation', 'Game Theory', 'Expert modeler with Excel']}]","Strategy,SQL,Japanese"
"Richmond, Virginia Area","[{'\n  Industry Knowledge': ['Strategy', 'Credit Risk', 'Segmentation', 'Business Analytics', 'Financial Services', 'Credit Cards', 'Data Analysis', 'Business Strategy', 'Risk Management']}, {'\n  Tools & Technologies': ['SAS']}, {'\n  Other Skills': ['Predictive Modeling', 'Predictive Analytics']}]","Business Analysis,Financial Modeling,Analytics"
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['Data Analysis', 'Market Research', 'Financial Modeling']}, {'\n  Tools & Technologies': ['Microsoft Excel']}, {'\n  Other Skills': []}]","Statistics,Economic Modeling,Valuation"
"Bellevue, Washington","[{'\n  Industry Knowledge': ['Data Analysis', 'Algorithms', 'Distributed Systems', 'Software Development', 'Analytics', 'Cloud Computing', 'Big Data', 'Agile Methodologies', 'Scrum', 'Software Design', 'Software Engineering']}, {'\n  Tools & Technologies': ['SQL', 'C++']}, {'\n  Interpersonal Skills': []}, {'\n  Other Skills': []}]","Data Mining,C#,Machine Learning"
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['Mobile Devices', 'Software Development', 'Agile Methodologies', 'Data Center', 'Distributed Systems']}, {'\n  Tools & Technologies': ['Python', 'SaaS', 'Unix', 'Perl', 'C++', 'C']}]","Linux,Cloud Computing,Networking"
,,
"Berkeley, California","[{'\n  Industry Knowledge': ['Social Media', 'Event Planning', 'Research', 'Data Analysis', 'Machine Learning', 'Data Visualization']}, {'\n  Tools & Technologies': ['SQL', 'Unix', 'Microsoft Excel', 'Microsoft PowerPoint', 'Microsoft Word', 'Git']}, {'\n  Interpersonal Skills': ['Public Speaking', 'Leadership', 'Customer Service', 'Teamwork']}, {'\n  Other Skills': ['NumPy']}]","R,Java,Python"
San Francisco Bay Area,"[{'\n  Industry Knowledge': []}, {'\n  Tools & Technologies': []}, {'\n  Other Skills': []}]",
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['ETL', 'Programming', 'Data Analysis', 'Analysis', 'Statistical Modeling', 'Machine Learning', 'Data Mining', 'Shell Scripting', 'SDLC', 'Performance Tuning', 'Testing', 'Statistical Data Analysis', 'Database Administration', 'Algorithms', 'Analytical Skills', 'Mathematics', 'Database Design', 'Agile Methodologies', 'Web Development', 'Web Services', 'Data Warehousing']}, {'\n  Tools & Technologies': ['Java', 'Python', '.NET', 'C#', 'C++', 'R', 'SAS', 'Microsoft SQL Server', 'Databases', 'Unix', 'Linux', 'Git', 'MySQL', 'Visual Basic', 'Visual Studio', 'Microsoft Excel', 'Perl', 'HTML', 'XML', 'REST']}, {'\n  Interpersonal Skills': ['Leadership', 'Management', 'Team Building', 'Mentoring']}, {'\n  Other Skills': ['Data Science', 'Time Series Analysis']}]","Software Development,SQL,Statistics"
