country,skill_sets,top_skills
,,
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Research', 'Statistics', 'Econometrics', 'Policy Analysis', 'Macroeconomics', 'Analysis', 'Policy', 'International Development', 'Quantitative Research', 'Economic Development', 'Program Evaluation', 'Analytical Skills', 'Public Policy']}, {'\n  Tools & Technologies': ['SPSS', 'Microsoft Office']}, {'\n  Interpersonal Skills': ['Qualitative Research', 'Capacity Building', 'Management', 'Teaching']}, {'\n  Other Skills': ['Survey Research']}]","Stata,Data Analysis,Economics"
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['Market Research', 'Business Development', 'Accounting', 'Economics', 'Research', 'Consulting', 'Statistics', 'Start-ups', 'Business Strategy', 'Social Media', 'Analysis', 'Statistical Modeling']}, {'\n  Tools & Technologies': ['Microsoft Office', 'R', 'Microsoft Word', 'PowerPoint', 'Hadoop']}, {'\n  Interpersonal Skills': ['Public Speaking']}, {'\n  Other Skills': ['Apache Spark']}]","Data Analysis,Financial Modeling,Microsoft Excel"
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['Data Mining', 'Algorithms', 'Statistics', 'Biostatistics', 'Data Analysis', 'Signal Processing']}, {'\n  Tools & Technologies': ['Matlab', 'Python', 'SAS', 'SQL', 'C/C++', 'C++']}, {'\n  Other Skills': ['Bayesian statistics', 'Time Series Analysis', 'Demand Forecasting', 'Cluster Analysis', 'Statistical Modeling and Computation', 'Time-Series Analysis', 'Markov Chain Monte Carlo Methods']}]","Statistical Modeling,R,Machine Learning"
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['Online Marketing', 'PPC', 'Grant Writing', 'SEM', 'Analytics', 'Science', 'Editing', 'Digital Marketing', 'Curriculum Design', 'Curriculum Development', 'Social Media', 'Social Media Marketing', 'Digital Media', 'Project Management', 'Marketing', 'Strategy', 'Search Engine Marketing (SEM)', 'Physics', 'Conversion Optimization', 'Advertising', 'Display Advertising', 'Search Engine Optimization (SEO)']}, {'\n  Tools & Technologies': ['Facebook', 'Google Analytics', 'Google Adwords', 'Educational Technology']}, {'\n  Interpersonal Skills': ['Public Speaking', 'Educational Leadership', 'Management', 'Leadership']}, {'\n  Other Skills': ['Marketing Analytics']}]","SEO,Teaching,Online Advertising"
"Urbana, Illinois","[{'\n  Industry Knowledge': ['Data Analysis', 'Statistical Modeling', 'Data Mining', 'Research']}, {'\n  Tools & Technologies': ['Python', 'Microsoft Excel']}]","R,Statistics,SAS"
San Francisco Bay Area,"[{'\n  Industry Knowledge': []}, {'\n  Tools & Technologies': []}, {'\n  Other Skills': []}]",
,,
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['Data Modeling', 'Management Consulting']}, {'\n  Tools & Technologies': []}, {'\n  Interpersonal Skills': ['Problem Solving', 'Public Speaking']}, {'\n  Languages': ['Spanish', 'Chinese']}, {'\n  Other Skills': ['Data Analytic', 'Slogans']}]","Data Analysis,SQL,Java"
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['Data Mining', 'Optimization']}, {'\n  Tools & Technologies': ['Python', 'MySQL', 'Microsoft Excel', 'PHP', 'SQL']}, {'\n  Other Skills': ['Hive', 'Monetization', 'SciPy']}]","Analytics,Machine Learning,R"
