skill_sets,top_skills
"[{'\n  Industry Knowledge': ['Algorithms', 'Statistics', 'Operations Research', 'Optimization', 'Mathematical Modeling', 'Data Mining', 'Data Analysis', 'Bioinformatics', 'Big Data', 'Financial Modeling', 'Analytics', 'Econometrics']}, {'\n  Tools & Technologies': ['Matlab', 'Python', 'C', 'SAS', 'Hadoop']}, {'\n  Other Skills': ['Predictive Modeling', 'Time Series Analysis', 'Bayesian statistics', 'Quantitative Finance', 'Applied Mathematics', 'Predictive Analytics', 'Text Mining', 'Financial Mathematics', 'Hive', 'Algorithm Design']}]","R,Machine Learning,Statistical Modeling"
,
,
,
"[{'\n  Industry Knowledge': ['Econometrics', 'Data Analysis', 'Statistics', 'Data Mining', 'Quantitative Analytics', 'Report Writing']}, {'\n  Tools & Technologies': ['Matlab', 'Stata', 'SPSS', 'Python', 'SQL', 'Linux', 'Microsoft Excel', 'Excel', 'DB2']}, {'\n  Other Skills': ['Linear Regression', 'Time Series Analysis', 'SSH Client', 'Marketing Analytics', 'Logistic Regression']}]","R,SAS,Statistical Modeling"
,
"[{'\n  Industry Knowledge': ['Algorithms', 'Big Data', 'Machine Learning', 'Software Engineering', 'Computer Science', 'Scalability']}, {'\n  Tools & Technologies': ['Perl']}, {'\n  Other Skills': ['Information Retrieval']}]","Hadoop,Distributed Systems,MapReduce"
,
"[{'\n  Industry Knowledge': ['Machine Learning', 'Image Processing', 'Numerical Analysis', 'Simulations', 'Mathematical Modeling', 'Data Analysis']}, {'\n  Tools & Technologies': ['Python', 'Linux', 'LaTeX', 'Mathematica', 'SQL', 'Matlab', 'Microsoft Office', 'C', 'C++', 'Fortran', 'Scala', 'Git', 'D3.js']}, {'\n  Other Skills': ['Scientific Computing', 'Apache Spark', 'Data Science', 'Large-scale Data Analysis', 'IDL programming', 'Cloudera', 'Cloudera Impala']}]","Physics,Astrophysics,Research"
,
,
,
"[{'\n  Industry Knowledge': ['Statistics', 'Data Analysis', 'Data Mining', 'Machine Learning', 'Statistical Modeling']}, {'\n  Tools & Technologies': ['Matlab', 'LaTeX']}, {'\n  Other Skills': ['Time Series Analysis']}]","R,SAS,Python"
,
"[{'\n  Industry Knowledge': ['Research', 'Machine Learning', 'Quantitative Analytics', 'Statistics', 'Data Visualization', 'Financial Analysis', 'Corporate Finance', 'Valuation', 'Statistical Modeling']}, {'\n  Tools & Technologies': ['R', 'SQL', 'Stata', 'Python', 'VBA', 'PowerPoint']}, {'\n  Languages': ['Mandarin', 'English']}]","Data Analysis,Financial Modeling,Economics"
,
,
,
,
,
"[{'\n  Industry Knowledge': ['Research', 'Algorithms', 'Simulations']}, {'\n  Tools & Technologies': ['C++', 'Microsoft Office', 'LaTeX']}]","Matlab,Python,C"
,
"[{'\n  Industry Knowledge': ['Big Data', 'Algorithms', 'Cloud Computing', 'Data Visualization', 'Statistical Modeling', 'Artificial Intelligence']}, {'\n  Tools & Technologies': ['Python', 'Hadoop', 'Java', 'SQL', 'C++', 'C', 'Matlab']}, {'\n  Other Skills': ['Crowdsourcing', 'Natural Language Processing', 'Semantic Web', 'Information Extraction', 'MapReduce', 'Recommender Systems', 'Social Network Analysis', 'Search Engines', 'Information Visualization', 'recommendation']}]","Machine Learning,Data Mining,Information Retrieval"
,
"[{'\n  Industry Knowledge': ['Software Project Management', 'Software Development', 'Enterprise Architecture', 'SOA', 'Requirements Analysis', 'Agile Methodologies', 'Web Services', 'Integration']}, {'\n  Tools & Technologies': ['XML', 'Hadoop', 'Java', 'Python', 'Java Enterprise Edition', 'JBoss Application Server', 'REST', 'UML', 'Hibernate', 'Core Java']}, {'\n  Other Skills': ['ESB', 'MapReduce', 'Data Models', 'Pig', 'DataPower', 'Apache Pig']}]","SQL,Business Analysis,Enterprise Software"
,
"[{'\n  Industry Knowledge': ['Statistics', 'Algorithms', 'Data Analysis', 'Software Development', 'Statistical Modeling', 'Analytics', 'Programming', 'Design of Experiments', 'Mathematical Modeling', 'Machine Learning', 'Operations Research', 'Physics', 'Optimization', 'Modeling', 'Database Design', 'Software Engineering', 'Object Oriented Design', 'Options', 'Test Automation', 'Test Driven Development', 'Multithreading', 'NLP']}, {'\n  Tools & Technologies': ['SQL', 'R', 'Python', 'Java', 'Matlab', 'C++', 'Mathematica', 'Hadoop', 'Linux', 'LaTeX', 'XML', 'C#']}, {'\n  Other Skills': ['Monte Carlo Simulation', 'Predictive Modeling', 'High Performance Computing', 'Discrete Event Simulation', 'Trading System Development', 'Predictive Analytics', 'JMP', 'Automated Trading', 'Futures Trading', 'Apache Spark', 'Bayesian methods', 'Markov Chain Monte Carlo']}]","Data Mining,Simulations,Deep Learning"
,
"[{'\n  Industry Knowledge': ['Optimization', 'Simulation', 'Operations Research', 'Statistics', 'Data Mining', 'mathematical modeling']}, {'\n  Tools & Technologies': ['Python', 'Scala', 'SQL', 'R', 'SAS', 'Matlab', 'Hadoop', 'C', 'C++', 'Java', 'TensorFlow', 'Caffe']}, {'\n  Other Skills': ['Spark', 'Decision Making Under Uncertainty', 'applied mathematics', 'stochastic process']}]","Machine Learning,Deep Learning,Data Analysis"
,
"[{'\n  Industry Knowledge': ['Statistics', 'Simulations', 'Numerical Analysis', 'Operations Research', 'Statistical Modeling', 'Data Mining']}, {'\n  Tools & Technologies': ['R', 'SPSS', 'Microsoft Office', 'LaTeX', 'Mathematica', 'SAS', 'Fortran']}]","Data Analysis,Matlab,Mathematical Modeling"
,
,
,
"[{'\n  Industry Knowledge': ['Financial Analysis', 'Algorithms', 'Data Structures', 'Computer Science', 'Data Analysis', 'Programming', 'Research', 'Higher Education', 'Agile Methodologies']}, {'\n  Tools & Technologies': ['Microsoft Office', 'Mircosoft Excel', 'C++', 'LaTeX', 'Tableau', 'Python', 'SQL', 'JIRA', 'Github', 'TensorFlow']}, {'\n  Interpersonal Skills': []}, {'\n  Other Skills': ['Algorithm Design', 'Applied Mathematics', 'Artificial Neural Networks', 'Pattern Recognition', 'Natural Language Processing', 'Algorithm Development', 'Spark', 'Vertica', 'Predictive Modeling', 'Data Science', 'Regression Models']}]","Mathematics,Machine Learning,Clinical Research"
,
"[{'\n  Industry Knowledge': ['Statistics', 'Data Mining']}, {'\n  Tools & Technologies': ['R', 'SAS', 'SQL', 'Microsoft Excel', 'Databases', 'SPSS', 'Microsoft Office']}, {'\n  Interpersonal Skills': ['Management']}]","Data Analysis,Python,Research"
,
"[{'\n  Industry Knowledge': ['Renewable Energy', 'Engineering', 'Optimization', 'Modeling', 'Simulations', 'Operations Research', 'Data Analysis', 'Process Engineering', 'Analysis', 'Statistics', 'Energy', 'Quantitative Analytics', 'Chemical Engineering', 'Project Engineering', 'Proposal Writing', 'Mechanical Engineering', '@Risk', 'Energy Efficiency', 'CAD', 'Sustainability', 'Water', 'Process Optimization']}, {'\n  Tools & Technologies': ['Python', 'Matlab', 'Microsoft Excel', 'MathCAD', 'Access', 'R', 'MS Project', 'Visual Basic', 'Java', 'Microsoft Access', 'C++', 'ArcGIS', 'VBA', 'GIS']}, {'\n  Interpersonal Skills': ['Engineering Management']}, {'\n  Other Skills': ['Biofuels', 'Biomass', 'Decision Analysis', 'Monte Carlo Simulation', 'Process Design', 'Regression Analysis', 'Nonlinear Dynamics', 'Computational Biology', 'Alternative Energy']}]","Data Science,Data Mining,Machine Learning"
,
,
,
,
,
,
,
"[{'\n  Industry Knowledge': ['Logging', 'Drilling', 'Directional Drilling', 'Onshore', 'Data Analysis', 'Drilling Engineering', 'Upstream', 'Field Development', 'Reservoir Management', 'Physics', 'Reservoir Engineering', 'QHSE', 'Well Testing', 'Completion']}, {'\n  Tools & Technologies': ['SQL', 'Python']}, {'\n  Other Skills': ['Petrophysics', 'Log Analysis', 'LWD', 'Nuclear Physics', 'Stimulation', 'Reservoir Simulation', 'Petrel', 'Condensed Matter Physics', 'Completions']}]","Oilfield,Formation Evaluation,Petroleum Engineering"
,
"[{'\n  Industry Knowledge': ['Data Visualization', 'Research', 'Programming', 'Guitar']}, {'\n  Tools & Technologies': ['Tableau', 'Matlab', 'Java', 'C++', 'C', 'Pro Tools', 'Logic Pro', 'PowerPoint', 'Keynote']}, {'\n  Other Skills': ['Digital Signal Processing', 'Narrative Analysis', 'Teradata SQL']}]","Data Analysis,Python,Data Visualization"
,
,
,
"[{'\n  Industry Knowledge': ['Analytics', 'Agile Methodologies', 'Distributed Systems']}, {'\n  Tools & Technologies': ['Java', 'Matlab', 'R', 'Python', 'MongoDB', 'HBase']}, {'\n  Other Skills': ['MapReduce', 'Hive', 'Weka', 'Splunk', 'Propensity Modelling', 'Social Media Integration', 'Twitter API', 'Facebook API']}]","Machine Learning,Hadoop,Artificial Intelligence"
,
"[{'\n  Industry Knowledge': ['Data Analysis', 'Simulations', 'Signal Processing', 'Research', 'Machine Learning']}, {'\n  Tools & Technologies': ['Python', 'C++', 'MySQL', 'Visual Basic', 'Microsoft Office', 'PowerPoint', 'Fortran', 'Microsoft Word']}, {'\n  Other Skills': ['Web Application Development', 'Ground-Penetrating Radar']}]","Matlab,Algorithms,LaTeX"
,
,
,
"[{'\n  Industry Knowledge': ['Research', 'Mathematical Modeling', 'Fluid Mechanics', 'Modeling', 'Machine Learning', 'Analysis']}, {'\n  Tools & Technologies': ['Matlab']}, {'\n  Interpersonal Skills': ['Teaching', 'Public Speaking']}, {'\n  Other Skills': ['Groundwater Modeling', 'Hydrogeophysics']}]","Data Analysis,Python,R"
,
"[{'\n  Industry Knowledge': ['Statistical Modeling', 'Data Mining', 'Mathematical Modeling', 'Machine Learning', 'Research']}, {'\n  Tools & Technologies': ['SAS', 'Matlab', 'LaTeX', 'Microsoft Excel', 'Python']}, {'\n  Other Skills': ['Experimental Design']}]","Data Analysis,Statistics,R"
,
"[{'\n  Industry Knowledge': ['Strategic Planning', 'Physics', 'Statistics', 'Machine Learning', 'Data Analysis', 'Algorithms', 'Science', 'Simulations']}, {'\n  Tools & Technologies': ['C++', 'SQL', 'LaTeX', 'Microsoft Excel', 'PowerPoint', 'Mathematica', 'Matlab']}, {'\n  Interpersonal Skills': ['Teaching', 'Public Speaking']}]","Mathematical Modeling,Research,Python"
,
"[{'\n  Industry Knowledge': ['Screenwriting', 'Programming', 'System Administration', 'Data Mining', 'Business Analysis', 'Analysis', 'Analytics', 'Data Warehousing', 'SDLC', 'Software Documentation', 'Statistical Modeling', 'Statistics']}, {'\n  Tools & Technologies': ['Microsoft Excel', 'Perl', 'PHP', 'C++', 'Windows', 'Databases', 'ArcGIS', 'Access', 'GIS', 'PowerPoint', 'SAS', 'Unix']}, {'\n  Interpersonal Skills': ['Management', 'Leadership']}, {'\n  Other Skills': ['Script Analysis', 'Teradata Data Warehouse', 'Unix Shell Scripting']}]","Data Analysis,SQL,Teradata"
,
"[{'\n  Industry Knowledge': ['Data Analysis', 'Optimization', 'Software Development']}, {'\n  Tools & Technologies': ['Python', 'C/C++', 'Linux', 'Matlab']}, {'\n  Other Skills': ['CPLEX', 'PostGIS']}]","Java,Data Analysis,Optimization"
,
"[{'\n  Industry Knowledge': []}, {'\n  Tools & Technologies': ['C++', 'Java', 'C', 'HTML', 'Matlab']}, {'\n  Interpersonal Skills': ['Public Speaking']}, {'\n  Other Skills': []}]","Python,Keras,Tensorflow"
,
"[{'\n  Industry Knowledge': ['Signal Processing', 'Simulations', 'Big Data', 'Optimization', 'NLP', 'Digital Signal Processors']}, {'\n  Tools & Technologies': ['Matlab', 'C++', 'hadoop', 'R', 'Java']}, {'\n  Other Skills': ['map reduce']}]","Algorithms,Software Development,Machine Learning"
,
"[{'\n  Tools & Technologies': ['Fortran']}, {'\n  Other Skills': []}]","Linux,Python,Matlab"
,
"[{'\n  Industry Knowledge': ['Shell Scripting', 'Database Design']}, {'\n  Tools & Technologies': ['Access', 'SQL']}, {'\n  Other Skills': []}]","Data Analysis,Analysis,Microsoft Excel"
,
,
,
,
,
,
,
,
,
"[{'\n  Industry Knowledge': ['Research', 'Data Analysis', 'Quantitative Analytics', 'Quantitative Research', 'Financial Modeling', 'Research Design', 'Emerging Markets', 'Higher Education', 'Macroeconomics', 'International Business', 'Academic Advising', 'Statistics']}, {'\n  Tools & Technologies': ['R', 'SAS', 'Eviews', 'Matlab', 'SPSS', 'EViews']}, {'\n  Interpersonal Skills': ['Qualitative Research', 'Teaching', 'University Teaching', 'Lecturing', 'Student Development']}, {'\n  Other Skills': ['International Finance', 'Economic Research', 'South Asia', 'Asian markets']}]","Economics,Econometrics,Stata"
,
,
,
"[{'\n  Industry Knowledge': ['Data Analysis', 'Research', 'Neuroscience']}, {'\n  Tools & Technologies': ['R', 'SPSS', 'Matlab']}, {'\n  Interpersonal Skills': []}, {'\n  Other Skills': []}]","Python,Statistics,SQL"
,
"[{'\n  Industry Knowledge': ['OOP', 'Object Oriented Design', 'Design Patterns', 'Software Development', 'Object-Oriented Programming (OOP)', 'Programming', 'Machine Learning']}, {'\n  Tools & Technologies': ['C++', 'C', 'Visual Studio', 'C#', 'XML', 'MySQL', 'AJAX', 'Python']}, {'\n  Other Skills': ['SPARQL', 'Sentiment Analysis', 'OWL API', 'Text Mining', 'Crowdsourcing', 'Ontologies', 'Entity Resolution (Co-reference)', 'Semantic Data Integration']}]","Semantic Web,Java,Human Computer Interaction"
,
"[{'\n  Industry Knowledge': ['Statistics', 'Data Mining', 'Machine Learning', 'SAS Programming', 'Analytics', 'Business Intelligence', 'Analysis', 'Analytical Skills']}, {'\n  Tools & Technologies': ['Java', 'Databases', 'C++', 'R', 'Hadoop', 'Python', 'Microsoft Excel', 'Microsoft Office']}]","Data Analysis,Business Analysis,SQL"
,
,
,
,
,
"[{'\n  Industry Knowledge': ['Biostatistics', 'SAS Programming']}, {'\n  Tools & Technologies': ['LaTeX']}, {'\n  Languages': []}, {'\n  Other Skills': ['Survival Analysis', 'Experimental Design', 'Bayesian statistics']}]","SAS,R,Clinical Trials"
,
,
,
,
,
,
,
,
,
"[{'\n  Industry Knowledge': ['Machine Learning', 'Nanotechnology']}, {'\n  Tools & Technologies': ['Python', 'R', 'MySQL', 'C', 'HTML']}, {'\n  Other Skills': ['Principal Component Analysis', 'EXAFS', 'Heterogeneous Catalysis']}]","Materials Science,Statistical Inference,Machine Learning"
,
,
,
"[{'\n  Industry Knowledge': ['Algorithms', 'Data Analysis', 'Analytics', 'Statistics']}, {'\n  Tools & Technologies': ['Matlab', 'MySQL', 'SQL', 'Hadoop', 'Labview', 'Tableau', 'MongoDB', 'Minitab', 'Java', 'NoSQL']}, {'\n  Other Skills': ['Time Series Analysis', 'Linear Regression', 'Text Mining', 'Data Science', 'Apache Pig', 'HIVE', 'PIG']}]","Python,Machine Learning,R"
,
"[{'\n  Industry Knowledge': ['Data Mining', 'Programming', 'Statistics', 'Machine Learning', 'Quantitative Analytics', 'Algorithms', 'Data Analysis', 'NLP', 'AI']}, {'\n  Tools & Technologies': ['Linux', 'SAS', 'Java', 'JavaScript', 'SQL', 'LaTeX', 'Python', 'C', 'Tensorflow']}, {'\n  Other Skills': ['MPI', 'ImageJ', 'Predictive Modeling', 'Information Retrieval', 'Deep Learning']}]","Matlab,R,C++"
,
"[{'\n  Industry Knowledge': ['Computer Vision', 'Research', 'Algorithms', 'Computer Science', 'Machine Learning']}, {'\n  Tools & Technologies': ['Python', 'OpenGL', 'LaTeX', 'SQL', 'PHP', 'Stata']}, {'\n  Other Skills': ['RapidMiner']}]","Matlab,Programming,C++"
,
"[{'\n  Industry Knowledge': ['Programming', 'Machine Learning', 'Algorithms', 'Computer Vision', 'Software Engineering', 'Computer Science', 'Data Analysis']}, {'\n  Tools & Technologies': ['Microsoft Word', 'Linux', 'Matlab', 'JavaScript', 'PowerPoint', 'HTML', 'Python', 'Microsoft Excel']}, {'\n  Interpersonal Skills': ['Teaching', 'Teamwork', 'Public Speaking', 'Leadership']}, {'\n  Other Skills': ['Deep Learning', 'Compiler Construction', 'OpenCV']}]","C++,C,Microsoft Office"
,
,
,
"[{'\n  Industry Knowledge': ['Data Mining', 'Statistical Modeling', 'Programming', 'Statistics', 'Machine Learning', 'Financial Analysis']}, {'\n  Tools & Technologies': ['Python', 'Java', 'Matlab', 'SAS', 'C', 'Mathematica', 'SQL', 'Hadoop', 'git', 'Microsoft Office']}, {'\n  Other Skills': ['Data Science']}]","R,LaTeX,Research"
,
,
,
"[{'\n  Industry Knowledge': ['Science', 'Data Analysis']}, {'\n  Tools & Technologies': ['LaTeX', 'Python', 'Matlab', 'C++']}, {'\n  Other Skills': ['Scientific Computing', 'Particle Physics']}]","Statistics,Physics,Mathematical Modeling"
,
,
,
"[{'\n  Industry Knowledge': ['Statistics', 'Quantitative Analytics', 'Econometrics', 'Research', 'Financial Modeling']}, {'\n  Tools & Technologies': ['Stata', 'Microsoft Excel']}]","Data Analysis,Economics,SAS"
,
,
,
,
,
,
,
,
,
"[{'\n  Industry Knowledge': ['Cloud Computing', 'Software Project Management', 'Product Management', 'Software Development', 'Project Management', 'Data Mining', 'Enterprise Architecture', 'Agile Methodologies', 'Program Management', 'Agile Project Management', 'Distributed Systems', 'Business Analysis', 'Data Modeling', 'Data Analysis', 'Scrum', 'Strategy', 'IT Strategy', 'SOA', 'SDLC', 'Data Warehousing', 'Pre-sales', 'Automation', 'Telecommunications', 'Security', 'Release Management', 'Solution Architecture']}, {'\n  Tools & Technologies': ['SQL', 'Databases', 'Enterprise Software', 'SaaS', 'HTML', 'Hadoop', 'SharePoint']}, {'\n  Interpersonal Skills': ['Cross-functional Team Leadership', 'Technical Leadership']}, {'\n  Other Skills': ['Business Intelligence Tools']}]","Business Intelligence,Big Data,Analytics"
,
,
,
,
,
,
,
"[{'\n  Industry Knowledge': ['Algorithms', 'Mathematical Modeling', 'Statistical Modeling', 'Programming', 'Optimizations', 'Airlines', 'Data Mining', 'Aviation', 'Data Analysis', 'Statistics', 'Simulations']}, {'\n  Tools & Technologies': ['Matlab', 'C++', 'Java', 'R', 'Python', 'Perl']}, {'\n  Other Skills': ['Linear Programming', 'AMPL', 'Mathematical Programming', 'Constraint Programming']}]","Operations Research,Optimization,CPLEX"
,
,
,
,
,
"[{'\n  Industry Knowledge': ['Data Analysis', 'Research', 'Statistics', 'Machine Learning', 'Optics', 'Metrology', 'Semiconductors', 'Semiconductor Industry', 'Higher Education']}, {'\n  Tools & Technologies': ['C', 'C++', 'LaTeX']}, {'\n  Interpersonal Skills': []}, {'\n  Other Skills': ['Scatterometry', 'Ellipsometry']}]","Python,Matlab,Physics"
,
"[{'\n  Industry Knowledge': ['Data Analysis', 'Statistical Modeling', 'Public Health', 'Machine Learning', 'SAS programming', 'Research', 'Global Health', 'Science', 'SAS Programming']}, {'\n  Tools & Technologies': ['R', 'Stata', 'SAS', 'Databases', 'ArcGIS', 'SQL']}, {'\n  Interpersonal Skills': ['Communication']}, {'\n  Other Skills': ['Causal Inference', 'Data Science', 'Clinical Study Design', 'Exploratory Data Analysis', 'Non-parametric']}]","Epidemiology,Statistics,Biostatistics"
,
,
,
"[{'\n  Industry Knowledge': ['Data Analysis', 'Data Visualization', 'Research', 'SAS programming', 'Analytics', 'Statistical Modeling', 'Data Mining', 'Business Intelligence', 'Statistical Data Analysis', 'Algorithms']}, {'\n  Tools & Technologies': ['R', 'SQL', 'SAS', 'LaTeX', 'Microsoft Excel', 'Matlab', 'C++']}, {'\n  Other Skills': ['Data Science', 'SAS Base', 'Statistical Programming']}]","Statistics,Machine Learning,Python"
,
"[{'\n  Industry Knowledge': ['Science', 'Machine Learning', 'Algorithms', 'Programming', 'Mathematical Modeling']}, {'\n  Tools & Technologies': ['Python', 'R', 'Microsoft Office', 'Microsoft Excel', 'SQL']}, {'\n  Interpersonal Skills': ['Teaching', 'Public Speaking']}, {'\n  Other Skills': ['Data Science']}]","Statistics,Data Analysis,Research"
,
"[{'\n  Industry Knowledge': ['Mathematical Modeling', 'Physics', 'Machine Learning', 'Science', 'Numerical Analysis']}, {'\n  Tools & Technologies': ['Fortran']}, {'\n  Other Skills': ['High Performance Computing']}]","LaTeX,Research,Matlab"
,
,
,
"[{'\n  Industry Knowledge': ['Statistics', 'Research', 'Physics', 'Science']}, {'\n  Tools & Technologies': ['Matlab']}, {'\n  Interpersonal Skills': []}, {'\n  Other Skills': []}]","Data Analysis,Python,Statistics"
,
"[{'\n  Industry Knowledge': ['Statistics', 'Statistical Modeling', 'Machine Learning', 'Algorithms', 'Analysis', 'Shell Scripting', 'Optimization', 'Mathematical Modeling']}, {'\n  Tools & Technologies': ['Java', 'Matlab', 'Python', 'SQL', 'Hadoop', 'SAS', 'Mathematica', 'Stata', 'LaTeX', 'Tableau']}, {'\n  Other Skills': ['Predictive Modeling', 'Predictive Analytics', 'Cluster Analysis', 'Text Mining', 'Deduplication', 'Monte Carlo Simulation', 'Collaborative Filtering', 'Classifications', 'Rule Ensembles']}]","Data Mining,R,Data Analysis"
,
"[{'\n  Industry Knowledge': ['Operations Research', 'Big Data', 'Optimization', 'Data Visualization']}, {'\n  Tools & Technologies': ['Python', 'R', 'SQL', 'Scala', 'LaTeX']}, {'\n  Other Skills': ['Predictive Modeling', 'Stochastic Simulation', 'Time Series Analysis', 'Apache Spark']}]","Machine Learning,Statistics,Probability"
,
"[{'\n  Industry Knowledge': ['Algorithms', 'Machine Learning', 'Distributed Systems']}, {'\n  Tools & Technologies': ['Linux', 'MySQL', 'Java', 'C++', 'SQL', 'Subversion']}, {'\n  Other Skills': []}]","Data Mining,Python,Data Analysis"
,
"[{'\n  Industry Knowledge': ['Property & Casualty Insurance', 'Data Analysis', 'Analytics', 'Pricing', 'Statistical Modeling', 'Data Mining', 'Analysis', 'General Insurance', 'Reinsurance', 'Financial Risk', 'SAS programming', 'Enterprise Risk Management', 'Analytical Skills']}, {'\n  Tools & Technologies': ['SAS', 'SQL', 'R', 'VBA', 'Visual Basic for Applications (VBA)']}, {'\n  Other Skills': ['Predictive Modeling', 'Emblem', 'Solvency II', 'Quantitative Finance', 'Talon']}]","Actuarial Science,Predictive Analytics,Insurance"
,
,
,
"[{'\n  Industry Knowledge': ['Mathematical Modeling', 'Data Analysis', 'Biostatistics', 'Statistical Data Analysis', 'SAS Programming']}, {'\n  Tools & Technologies': ['SAS', 'LaTeX', 'SPSS', 'Matlab', 'C', 'Python']}, {'\n  Other Skills': ['Experimental Design', 'SAS Base']}]","Statistical Modeling,R,Statistics"
,
,
,
"[{'\n  Industry Knowledge': ['Wireless', 'Signal Processing', 'UMTS', 'TCP/IP', 'Simulations', 'Wireless Networking', 'Simulation', 'Optimization', '4G', 'Modeling', 'Telecommunications', 'Algorithms', 'Testing']}, {'\n  Tools & Technologies': ['pandas', 'LTE', 'Matlab', 'Python', 'Oracle SQL', 'C', 'C++']}, {'\n  Other Skills': ['LTE Advanced', 'TD-SCDMA', 'scikit-learn', 'OFDM', 'Communication Systems', 'Digital Communication']}]","Data Science,Machine Learning,Wireless"
,
,
,
"[{'\n  Industry Knowledge': ['Algorithms', 'Physics', 'Computer Science', 'Data Analysis', 'Statistical Data Analysis', 'Image Processing', 'Cell Culture']}, {'\n  Tools & Technologies': ['Hadoop', 'Python', 'Matlab', 'C++', 'R', 'LaTeX', 'Perl', 'Linux', 'Mathematica', 'C']}, {'\n  Languages': []}, {'\n  Other Skills': ['Big Data Analytics', 'Spark', 'Data Science', 'Data Processing']}]","Machine Learning,Big Data,Data Cleaning"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"[{'\n  Industry Knowledge': ['Statistics', 'Big Data', 'Analytics', 'Data Analysis', 'Statistical Modeling', 'Software Development', 'Bioinformatics', 'Programming', 'Distributed Systems', 'Shell Scripting', 'Quantitative Analytics']}, {'\n  Tools & Technologies': ['Hadoop', 'SQL', 'SAS', 'Matlab', 'Python', 'JDBC', 'Github', 'Tableau', 'Git']}, {'\n  Other Skills': ['Predictive Analytics', 'Cluster Analysis', 'Text Mining', 'A/B testing', 'Bioconductor', 'Teradata', 'Parallel Computing', 'Data Science', 'Feature Selection', 'BTEQ', 'GSL', 'Hive', 'Spark', 'Splunk', 'Experimentation', 'In-database Analytics']}]","R,Data Mining,Machine Learning"
,
"[{'\n  Industry Knowledge': ['Data Analysis', 'Research']}, {'\n  Tools & Technologies': ['R Programming', 'SQL', 'PowerPoint', 'Microsoft Office', 'Microsoft Excel', 'Microsoft Word', 'SAS', 'R']}, {'\n  Interpersonal Skills': ['Leadership', 'Communication']}, {'\n  Other Skills': ['Bayesian statistics']}]","Statistics,Machine Learning,Python"
,
,
,
"[{'\n  Industry Knowledge': ['Statistics']}, {'\n  Tools & Technologies': ['Bash', 'SQL']}]","R,Python,C++"
,
,
,
"[{'\n  Industry Knowledge': ['Algorithms', 'Data Mining', 'Psychology']}, {'\n  Tools & Technologies': ['R', 'C++', 'Matlab', 'Hadoop', 'SQL', 'Ruby', 'Java']}, {'\n  Other Skills': ['Cognitive Science', 'Spark', 'Experimental Design', 'Hive', 'MapReduce', 'Time Series Analysis']}]","Statistics,Machine Learning,Python"
,
,
,
"[{'\n  Industry Knowledge': ['Mathematics', 'Research', 'Analytics']}, {'\n  Tools & Technologies': ['SAS', 'Microsoft Office']}]","Data Analysis,Economics,Statistics"
,
,
,
,
,
,
,
,
,
"[{'\n  Tools & Technologies': []}, {'\n  Other Skills': []}]",
,
,
,
,
,
"[{'\n  Industry Knowledge': ['Statistical Modeling', 'Analytics', 'SAS programming']}, {'\n  Tools & Technologies': ['Python', 'SAS', 'Matlab', 'SQL']}]","Statistics,R,Data Analysis"
,
"[{'\n  Industry Knowledge': ['Data Analysis', 'Statistics', 'Statistical Modeling', 'Machine Learning', 'Big Data', 'Data Modeling', 'Segmentation', 'Data Visualization', 'SAS/SQL', 'Forecasting']}, {'\n  Tools & Technologies': ['Matlab', 'SAS', 'Microsoft Office', 'Hadoop', 'LaTeX']}, {'\n  Other Skills': ['Logistic Regression', 'Linear Regression', 'Multivariate Analysis', 'Predictive Analytics']}]","R,Time Series Analysis,Data Mining"
,
"[{'\n  Industry Knowledge': ['Machine Learning', 'Computer Science', 'Simulations', 'Algorithms', 'Data Analysis', 'Image Processing', 'Bioinformatics', 'Statistics', 'Optimization', 'Mathematical Modeling', 'Signal Processing', 'Numerical Analysis', 'Science', 'Software Development', 'Statistical Modeling', 'Artificial Intelligence', 'Web Design', 'Computer Vision', 'Network Security', 'Manufacturing', 'Physics', 'Biomedical Engineering']}, {'\n  Tools & Technologies': ['C++', 'R', 'Java', 'SQL', 'Python', 'MySQL', 'C', 'Unix', 'SAS', 'LaTeX', 'PHP', 'Perl', 'Mathematica', 'Fortran', 'Linux', 'Solaris', 'VBA']}, {'\n  Interpersonal Skills': ['Teaching Skills', 'Teaching']}, {'\n  Other Skills': ['Pattern Recognition', 'High Performance Computing', 'Unix Administration', 'GWT', 'database mining', 'Assembly']}]","Matlab,Data Mining,Programming"
,
"[{'\n  Industry Knowledge': ['Big Data', 'Web Analytics', 'Data Management', 'Analytics']}, {'\n  Tools & Technologies': ['R', 'Python', 'SQL', 'SAS', 'Github', 'Linux']}, {'\n  Other Skills': ['Predictive Modeling', 'SEM SEO Marketing', 'Logistic Regression', 'Time Series Analysis', 'Pricing Analysis']}]","Statistical Modeling,Machine Learning,Experiment Design/Test"
,
,
,
"[{'\n  Industry Knowledge': ['Data Analysis', 'Research', 'Scientific Writing', 'Environmental Science', 'Statistical Modeling', 'Ecology', 'Programming']}, {'\n  Tools & Technologies': ['Python', 'Github', 'Microsoft Office', 'Git', 'Outlook', 'Matlab']}, {'\n  Interpersonal Skills': ['Teaching', 'Public Speaking', 'Teamwork']}, {'\n  Languages': []}, {'\n  Other Skills': []}]","Science,Statistics,R"
,
,
,
,
,
,
,
