country,skill_sets,top_skills
Ireland,"[{'\n  Industry Knowledge': []}, {'\n  Tools & Technologies': []}, {'\n  Interpersonal Skills': []}, {'\n  Other Skills': []}]",
,,
,,
San Francisco Bay Area,"[{'\n  Industry Knowledge': []}, {'\n  Tools & Technologies': []}, {'\n  Interpersonal Skills': []}, {'\n  Other Skills': []}]",
"Seattle, Washington","[{'\n  Industry Knowledge': ['Equities', 'Financial Analysis', 'Analysis', 'Programming', 'Software Engineering', 'Statistics', 'Valuation', 'Data Analysis', 'Engineering', 'Simulation', 'Optimization']}, {'\n  Tools & Technologies': ['Matlab', 'Bloomberg', 'C++', 'C', 'JavaScript', 'Excel', 'Microsoft Excel', 'Python', 'Windows', 'SQL']}, {'\n  Interpersonal Skills': ['Problem Solving', 'Team Building', 'Leadership']}, {'\n  Languages': ['Mandarin']}, {'\n  Other Skills': ['Quantitative Finance', 'Stochastic Calculus', 'Option Valuation', 'Product Analysis']}]","Product Management,Analytics,Data Science"
"Mountain View, California","[{'\n  Industry Knowledge': ['Research', 'Data Analysis', 'Machine Learning', 'Statistical Data Analysis', 'Technology Integration', 'Instructional Design', 'Programming', 'Simulations', 'Statistical Modeling', 'Algorithms', 'Data Mining', 'Mathematics', 'Data Visualization', 'Web Development', 'Mathematical Modeling', 'Project Management']}, {'\n  Tools & Technologies': ['Matlab', 'Python', 'R', 'Java', 'Microsoft Office', 'Google Docs', 'Amazon Web Services (AWS)', 'SQL', 'Hadoop', 'MySQL', 'LaTeX', 'Linux', 'C++', 'HTML', 'Fortran', 'PHP', 'Scala', 'JavaScript', 'CSS', 'MongoDB', 'Cascading Style Sheets (CSS)', 'PostgreSQL']}, {'\n  Interpersonal Skills': ['Public Speaking']}, {'\n  Other Skills': ['Data Science', 'Apache Spark', 'Hadoo', 'Apache Pig', 'Hive', 'Deep Learning']}]","Physics,Science,Statistics"
"London, Greater London, United Kingdom","[{'\n  Industry Knowledge': ['Statistics', 'Analysis', 'Statistical Modeling', 'Data Mining', 'Numerical Analysis', 'Mathematics']}, {'\n  Tools & Technologies': ['Microsoft Excel', 'Matlab', 'Microsoft Word', 'LaTeX', 'PowerPoint', 'C', 'MySQL', 'HTML', 'JavaScript', 'Fortran', 'CSS', 'SQL']}, {'\n  Other Skills': ['Octave', 'Computational Mathematics', 'Numerical Linear Algebra', 'Shiny Apps', 'Interactive Dashboard', 'Presto', 'Attribution', 'Data Science']}]","Attribution Modeling,R,Data Analysis"
"Cambridge, Massachusetts","[{'\n  Industry Knowledge': ['Robotics', 'Statistics', 'Programming', 'Computer Science', 'Computer Vision', 'Image Processing', 'Signal Processing', 'Simulations', 'Data Visualization', 'Data Analysis', 'Data Mining', 'Analytics', 'Mathematical Modeling', 'Modeling', 'Software Engineering', 'Software Development', 'Cloud Computing', 'Writing']}, {'\n  Tools & Technologies': ['Python', 'Matlab', 'Java', 'C++', 'C', 'R', 'SQL', 'MongoDB', 'AWS', 'Windows Azure', 'Linux']}, {'\n  Interpersonal Skills': ['Public Speaking', 'Teaching', 'Team Leadership']}, {'\n  Other Skills': ['Data Science', 'Deep Learning', 'Reinforcement Learning', 'Natural Language Processing', 'Pattern Recognition', 'Neural Networks', 'Algorithm Development', 'Predictive Modeling', 'Technical Presentations', 'Strategic Visionary', 'Machine Psychology', 'Craft Beer', 'Hair braiding']}]","Artificial Intelligence,Machine Learning,Algorithms"
"Menlo Park, California","[{'\n  Industry Knowledge': ['Artificial Intelligence', 'Data Mining', 'Software Engineering', 'Statistics', 'Data Analysis', 'Programming', 'Research']}, {'\n  Tools & Technologies': ['LaTeX', 'R', 'Matlab', 'Java']}, {'\n  Other Skills': ['Pattern Recognition', 'Reinforcement Learning', 'Cognitive Neuroscience', 'Computational Neuroscience', 'Algorithm Design']}]","Machine Learning,Algorithms,Computer Science"
"London, United Kingdom","[{'\n  Industry Knowledge': []}, {'\n  Tools & Technologies': []}, {'\n  Other Skills': []}]",
,,
"Austin, Texas","[{'\n  Industry Knowledge': ['Data Mining', 'Data Analysis', 'Statistics', 'ETL', 'Modeling', 'Big Data', 'Business Intelligence', 'Product Management']}, {'\n  Tools & Technologies': ['SQL', 'SAS', 'SPSS', 'Matlab', 'Hadoop', 'Stata', 'Adobe Illustrator', 'Microsoft Office', 'Microsoft Excel', 'Microsoft PowerPoint', 'Tableau', 'Microsoft Power BI', 'HTML5', 'PHP']}, {'\n  Other Skills': ['Spark', 'Text Mining']}]","Python,R,Machine Learning"
Ireland,"[{'\n  Industry Knowledge': ['Data Analysis', 'Statistical Modeling', 'Business Analytics', 'Design of Experiments', 'Segmentation', 'Pharmaceutical Industry', 'Business Intelligence']}, {'\n  Tools & Technologies': ['R', 'Matlab']}, {'\n  Other Skills': ['Predictive Analytics', 'Predictive Modeling', 'Multivariate Analysis']}]","Data Mining,Statistics,Analytics"
,,
,,
"San Jose, California","[{'\n  Industry Knowledge': ['Analytics', 'Statistics', 'Statistical Modeling', 'Data Analysis', 'Data Mining', 'Software Development', 'Web Development', 'Consulting', 'Project Management', 'Business Intelligence']}, {'\n  Tools & Technologies': ['R', 'Python', 'JavaScript', 'Visio', 'Databases']}, {'\n  Other Skills': ['Technology Consulting']}]","SQL,PL/SQL,Java"
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['Data Analysis', 'Research', 'Statistics', 'Bioinformatics', 'SAS Programming', 'Statistical Modeling', 'Machine Learning']}, {'\n  Tools & Technologies': ['SAS', 'Microsoft Office', 'Microsoft Excel', 'PowerPoint', 'Matlab', 'PostgreSQL', 'MongoDB']}, {'\n  Other Skills': ['Database Management System', 'Scikit-Learn', 'NumPy', 'Matplotlib', 'Artificial Neural Networks', 'Predictive Modeling', 'Recommender Systems', 'Logistic Regression', 'Linear Regression', 'Bayesian statistics', 'A/B Testing', 'Hypothesis Testing', 'Decision Trees', 'Support Vector Machine (SVM)', 'PCA', 'Spark', 'KNN']}]","R,Python,SQL"
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['Machine Learning', 'Mathematical Modeling', 'Simulations']}, {'\n  Tools & Technologies': ['SQL', 'R', 'Matlab']}, {'\n  Other Skills': ['Data Science']}]","Data Analysis,Statistics,Python"
"Sunnyvale, California","[{'\n  Industry Knowledge': ['Data Analysis', 'Machine Learning', 'Supply Chain Management', 'Supply Chain', 'Industrial Engineering', 'Logistics', 'Manufacturing', 'Research', 'Analysis', 'Statistics', 'Algorithms']}, {'\n  Tools & Technologies': ['Amazon Web Services (AWS)', 'Hadoop', 'SQL', 'Microsoft Office', 'Minitab', 'Warehouse Management', 'SPSS', 'Java', 'Microsoft Excel']}, {'\n  Other Skills': ['Apache Spark', 'Predictive Modeling', 'Text Mining', 'Arena Simulation Software', 'Decision Trees', 'Natural Language Processing', 'Weka']}]","R,Data Mining,Python"
Israel,"[{'\n  Industry Knowledge': ['Social Media', 'Data Analysis', 'Political Science', 'Strategy', 'Politics', 'Journalism', 'Strategic Planning', 'Editing', 'Project Management', 'Blogging', 'Policy Analysis', 'Analytical Skills']}, {'\n  Tools & Technologies': ['Microsoft Office', 'R', 'Microsoft Excel', 'SQL', 'Python']}, {'\n  Interpersonal Skills': ['Team Leadership', 'Management', 'Public Speaking', 'Leadership']}, {'\n  Languages': ['English']}, {'\n  Other Skills': ['Hebrew', 'Foreign Policy Analysis']}]","Research,International Relations,Analysis"
Greater Minneapolis-St. Paul Area,"[{'\n  Industry Knowledge': ['Data Visualization', 'Big Data', 'big data', 'project management']}, {'\n  Tools & Technologies': ['SQL', 'Hadoop', 'Amazon Web Services (AWS)', 'SQL Server Integration Services (SSIS)', 'Microsoft PowerPoint', 'Microsoft Excel', 'SPSS']}, {'\n  Interpersonal Skills': ['Presentation Skills']}, {'\n  Other Skills': ['Predictive Modeling', 'Apache Pig', 'Sqoop', 'Human Resource Planning', 'Hive', 'workforce an']}]","R,Python,Machine Learning"
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['Data Analysis', 'Statistical Modeling', 'Research']}, {'\n  Tools & Technologies': ['Microsoft Excel', 'Stata', 'Microsoft Office', 'Python', 'LaTeX', 'SAS', 'Microsoft Word', 'PowerPoint', 'Matlab']}, {'\n  Interpersonal Skills': ['Customer Service']}, {'\n  Other Skills': ['Logistic Regression', 'Experimental Design', 'Statistical Consulting']}]","R,Statistics,Biostatistics"
"Stanford, California","[{'\n  Industry Knowledge': ['Statistics', 'Physics', 'Programming', 'Research', 'Mechanical Engineering', 'Materials Science', 'Thermodynamics', 'Electronics']}, {'\n  Tools & Technologies': ['C++', 'Python', 'Matlab', 'Solidworks', 'AutoCAD', 'Microsoft Office']}, {'\n  Other Skills': ['MapReduce', 'Partial Differential Equations', 'COMSOL', 'Parallel Computing']}]","Data Science,Machine Learning,Data Mining"
,,
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['Statistical Modeling', 'Data Analysis', 'Clinical Trials', 'Biostatistics', 'Regression', 'Regression Testing', 'Data Mining', 'Research', 'Analytics', 'Analysis', 'Machine Learning', 'SAS Programming']}, {'\n  Tools & Technologies': ['SAS', 'SPSS', 'LaTeX', 'Microsoft Office', 'Microsoft Word', 'Microsoft Excel', 'SQL']}, {'\n  Interpersonal Skills': ['Teamwork']}, {'\n  Other Skills': ['Time Series Analysis', 'Logistic Regression', 'JMP', 'Bayesian statistics', 'Linear Regression', 'Bayesian methods', 'Bayesian inference', 'Predictive Modeling']}]","Weka,R,Statistics"
,,
"San Francisco, California","[{'\n  Industry Knowledge': ['Statistical Modeling', 'Data Analysis', 'Machine Learning', 'Economics', 'Macroeconomics', 'Statistics', 'Financial Modeling', 'Financial Analysis', 'Corporate Finance', 'Project Finance', 'Solar Energy', 'Renewable Energy', 'Risk Management', 'Econometrics', 'Data Modeling', 'Mathematical Modeling', 'Quantitative Analytics', 'Strategy', 'Finance']}, {'\n  Tools & Technologies': ['Python', 'SQL', 'R', 'Microsoft Excel', 'Hadoop', 'MySQL', 'Linux']}, {'\n  Other Skills': ['International Economics']}]","Analysis,Analytics,Data Mining"
Greater New York City Area,"[{'\n  Industry Knowledge': ['Research', 'Data Visualization', 'Analytics', 'Financial Modeling']}, {'\n  Tools & Technologies': ['SQL', 'Microsoft Excel', 'Pandas', 'Matlab', 'R', 'D3.js', 'Bloomberg']}, {'\n  Interpersonal Skills': ['Management']}, {'\n  Other Skills': ['Natural Language Processing', 'Web Scraping', 'Matplotlib']}]","Data Analysis,Python,MongoDB"
,,
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['Data Mining', 'Research', 'Business Analysis', 'Statistics', 'Data Warehousing', 'Analysis', 'Project Management']}, {'\n  Tools & Technologies': ['SAS', 'Microsoft SQL Server', 'Microsoft Office', 'JavaScript', 'SharePoint', 'R', 'PHP', 'XML', 'SSIS', 'Java', 'Microsoft Access', 'SSRS', 'SQL Server Integration Services (SSIS)']}, {'\n  Other Skills': ['Natural Language Processing', 'Applied Machine Learning']}]","Data Analysis,Databases,SQL"
United States,"[{'\n  Industry Knowledge': ['Fluid Mechanics', 'CFD', 'Data Analysis', 'Statistics']}, {'\n  Tools & Technologies': ['R', 'SQL', 'Java', 'Matlab']}, {'\n  Other Skills': []}]","Analytics,Machine Learning,Python"
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['Business Strategy']}, {'\n  Tools & Technologies': []}, {'\n  Interpersonal Skills': []}]","Product Management,Predictive Analytics,Product Development"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Data Analysis', 'Science', 'Image Processing', 'Signal Processing', 'Intellectual Property', 'Cell Biology', 'Fluorescence Microscopy', 'Neuroscience', 'Biotechnology', 'Biochemistry', 'Life Sciences']}, {'\n  Tools & Technologies': ['SQL']}, {'\n  Other Skills': ['Predictive Analytics', 'Data Science', 'Electrophysiology']}]","Python,R,Matlab"
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['Data Analysis', 'Market Research', 'Analysis', 'Strategy', 'Analytics', 'Research', 'Retail', 'Forecasting', 'Machine Learning']}, {'\n  Tools & Technologies': ['SQL', 'Tableau', 'Microsoft Excel', 'Windows', 'Microsoft Office']}, {'\n  Interpersonal Skills': []}, {'\n  Other Skills': ['Statistical testing']}]","Python,R,Teradata"
"Paris 02, Île-de-France, France","[{'\n  Industry Knowledge': ['Business Strategy', 'SAS programming', 'Financial Analysis', 'Analysis', 'Risk Management', 'Project Management', 'Finance', 'Economics', 'Investments', 'Statistics', 'Financial Modeling', 'Data Mining', 'Econometrics']}, {'\n  Tools & Technologies': ['Tableau', 'Microsoft SQL Server', 'Microsoft Excel', 'SQL', 'Microsoft Office', 'PowerPoint', 'R']}, {'\n  Interpersonal Skills': ['Teamwork']}, {'\n  Other Skills': ['Panel Data Analysis', 'Econometric Modeling', 'Bayesian statistics', 'Time Series Analysis', 'Financial Econometrics', 'Marketing Mix Modeling']}]","Data Analysis,Business Intelligence,R programming"
"Menlo Park, California","[{'\n  Industry Knowledge': ['Statistics', 'Data Mining', 'Big Data', 'Physics', 'Image Processing']}, {'\n  Tools & Technologies': ['SQL', 'Matlab', 'R', 'C', 'Microsoft Office']}, {'\n  Other Skills': ['Data Science', 'Data Cleaning', 'Visualization', 'Magnetism', 'Artificial Spin Ice']}]","Python,Machine Learning,Data Analysis"
United States,"[{'\n  Industry Knowledge': ['Machine Learning', 'Statistics', 'Analytics', 'Mathematical Modeling', 'Research', 'Algorithms', 'Data Analysis']}, {'\n  Tools & Technologies': ['Matlab', 'SQL']}, {'\n  Other Skills': ['A/B Testing']}]","R,Python,Data Analytics"
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['Data Analysis', 'Research', 'Economics', 'Analysis', 'Financial Analysis', 'Data Entry']}, {'\n  Tools & Technologies': ['SQL', 'Python', 'HTML', 'Microsoft Word', 'Java', 'JavaScript', 'C', 'Matlab', 'Photoshop']}, {'\n  Languages': ['English', 'French']}, {'\n  Other Skills': []}]","Microsoft Excel,Microsoft Office,PowerPoint"
"London, United Kingdom","[{'\n  Industry Knowledge': ['User Experience', 'Business Strategy', 'E-commerce', 'Agile Methodologies', 'Web Services']}, {'\n  Tools & Technologies': ['Python', 'PHP', 'Web 2.0', 'HTML 5', 'Node.js']}, {'\n  Other Skills': ['Data Science', 'Business Modeling', 'Graphs']}]","Mobile Devices,MySQL,Start-ups"
,,
Greater Chicago Area,"[{'\n  Industry Knowledge': ['Business Analysis', 'Statistics', 'Project Management', 'Analysis', 'CRM', 'Statistical Data Analysis']}, {'\n  Tools & Technologies': ['Microsoft Office', 'SQL', 'Microsoft SQL Server', 'Java', 'R', 'Microsoft Word', 'Informatica', 'Hadoop', 'NoSQL']}, {'\n  Interpersonal Skills': ['Leadership', 'Problem Solving', 'Critical Thinking']}, {'\n  Other Skills': ['Data Quality', 'Pegasystems PRPC', 'Mathematical Programming', 'Statistical Programming', 'Manage Client Relationships']}]","Data Analysis,Microsoft Excel,Analytics"
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['Statistics', 'Analytics', 'Data Mining', 'Statistical Modeling', 'Machine Learning', 'Revenue Management', 'Mathematical Modeling', 'Retail', 'SAS Programming']}, {'\n  Tools & Technologies': ['Matlab', 'R', 'C', 'Hadoop', 'Python']}, {'\n  Other Skills': ['Predictive Modeling', 'Combinatorial Optimization', 'Predictive Analytics', 'SAS Base']}]","SAS,Operations Research,Data Analysis"
,,
"London, United Kingdom","[{'\n  Industry Knowledge': ['Analytics', 'Statistics', 'Data Analysis', 'Display Advertising', 'Programming', 'Advertising', 'Digital Strategy', 'Online Advertising', 'Digital Marketing']}, {'\n  Tools & Technologies': ['Mathematica', 'LaTeX', 'SQL', 'Tableau']}, {'\n  Interpersonal Skills': ['Teaching', 'Teamwork', 'Problem Solving']}, {'\n  Languages': ['Italian']}, {'\n  Other Skills': ['Probability Theory', 'Highly detail oriented', 'Communication Skills']}]","Analytical Skills,English,Mathematics"
"London, Greater London, United Kingdom","[{'\n  Industry Knowledge': ['Financial Modeling', 'Change Management', 'Project Management', 'Management Consulting', 'Business Process Improvement', 'Quantitative Analytics', 'Data Modeling', 'Requirements Gathering', 'Consulting', 'Strategy', 'Psychology', 'Research', 'Policy']}, {'\n  Tools & Technologies': ['Microsoft Excel', 'QlikView', 'PowerPoint', 'Microsoft Word']}, {'\n  Interpersonal Skills': ['Stakeholder Management', 'Leadership', 'Public Speaking', 'Qualitative Research', 'Fundraising']}, {'\n  Other Skills': ['Business Case Modelling', 'Data Project Management / Leadership', 'IT Financial Management', 'Technology Adoption', 'Business Case Development', 'Dashboard Design', 'Technology Change Management', 'IT Transformation', 'Finance Transformation', 'Cost Model Development', 'Rifle Coaching', 'Peer Support']}]","Tableau,MySQL,Data Analysis"
"London, United Kingdom","[{'\n  Industry Knowledge': ['Product Management', 'Business Development', 'Online Advertising', 'Mobile Devices', 'Analysis', 'Project Management', 'Mobile Applications', 'Start-ups', 'Agile Methodologies', 'Software Development']}, {'\n  Tools & Technologies': ['SQL', 'Business Objects', 'Databases', 'R']}, {'\n  Interpersonal Skills': ['Management']}, {'\n  Other Skills': ['Product Requirements', 'RTB', 'Loving Life', 'Passionate about work', 'Love Of Learning', 'Data Science']}]","Business Intelligence,Analytics,Data Mining"
"San Francisco, California","[{'\n  Industry Knowledge': ['Machine Learning', 'Research', 'Strategy', 'Data Mining', 'Statistics', 'Cloud Computing', 'Data Analysis', 'Digital Strategy', 'Financial Modeling', 'Finite Element Analysis', 'Analytics']}, {'\n  Tools & Technologies': ['Python', 'Amazon Web Services (AWS)', 'Tableau', 'Hadoop', 'MySQL', 'C', 'C++', 'Linux', 'R', 'JavaScript', 'Solidworks', 'Matlab', 'Microsoft Excel']}, {'\n  Other Skills': ['Apache Spark']}]","Artificial Intelligence,Leadership,Recommender Systems"
,,
,,
"London, United Kingdom","[{'\n  Industry Knowledge': ['Financial Services']}, {'\n  Tools & Technologies': ['Microsoft Excel', 'PowerPoint', 'Microsoft Office']}, {'\n  Other Skills': []}]","Teamwork,Statistics,Analysis"
"London, Greater London, United Kingdom","[{'\n  Industry Knowledge': []}, {'\n  Interpersonal Skills': []}, {'\n  Other Skills': []}]",Java
