title,island,locality,price,beds,size,link,date,ad_type
"Flat / Apartment in calle Miguel de Unamuno, 1, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana",Gran Canaria,Santa Lucía de Tirajana,116000,3,110,https://www.idealista.com/en/inmueble/89351330/,2020-10-01,sale
"Flat / Apartment in avenida de las Tirajanas, 205, Vecindario-Paredilla-Sardina, Santa Lucía de Tirajana",Gran Canaria,Santa Lucía de Tirajana,110000,3,97,https://www.idealista.com/en/inmueble/89013639/,2020-10-01,sale
"Flat / Apartment in TENDERETE, NN, Ingenio",Gran Canaria,Ingenio,94000,3,75,https://www.idealista.com/en/inmueble/91122893/,2020-10-01,sale
"Flat / Apartment in alfereces provisionales, 22, Playa del Inglés, San Bartolomé de Tirajana",Gran Canaria,San Bartolomé de Tirajana,199000,2,48,https://www.idealista.com/en/inmueble/86309932/,2020-10-01,sale
"Flat / Apartment in Pérez Galdós, 5, Valsequillo de Gran Canaria",Gran Canaria,Valsequillo de Gran Canaria,84500,3,70,https://www.idealista.com/en/inmueble/90825616/,2020-10-01,sale
"Flat / Apartment in avenida de Canarias, Vecindario centro-San Pedro Mártir, Santa Lucía de Tirajana",Gran Canaria,Santa Lucía de Tirajana,115000,3,91,https://www.idealista.com/en/inmueble/91123157/,2020-10-01,sale
"Flat / Apartment in JOHN LENNON, La Pardilla - San Antonio, Telde",Gran Canaria,Telde,65000,2,84,https://www.idealista.com/en/inmueble/89021964/,2020-10-01,sale
"Flat / Apartment in CIENFUGOS, NN, El Tablero, San Bartolomé de Tirajana",Gran Canaria,San Bartolomé de Tirajana,155000,2,87,https://www.idealista.com/en/inmueble/88844337/,2020-10-01,sale
"Flat / Apartment in ROQUE NUBLO, NN, Cruce de Arinaga, Agüimes",Gran Canaria,Agüimes,118500,3,100,https://www.idealista.com/en/inmueble/81787247/,2020-10-01,sale
"Flat / Apartment in calle Jorge Juan, 30, Playa de Arinaga, Agüimes",Gran Canaria,Agüimes,159000,3,73,https://www.idealista.com/en/inmueble/83290103/,2020-10-01,sale
"Flat / Apartment in calle Isla de la Graciosa, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana",Gran Canaria,Santa Lucía de Tirajana,189000,3,108,https://www.idealista.com/en/inmueble/86016705/,2020-10-01,sale
"Flat / Apartment in carretera de Chile, 35, Negrín, Las Palmas de Gran Canaria",Gran Canaria,Las Palmas de Gran Canaria,190000,2,73,https://www.idealista.com/en/inmueble/90585580/,2020-10-01,sale
"Flat / Apartment in calle Beñesmén, 11, Vecindario-Paredilla-Sardina, Santa Lucía de Tirajana",Gran Canaria,Santa Lucía de Tirajana,106500,2,65,https://www.idealista.com/en/inmueble/90920038/,2020-10-01,sale
"Flat / Apartment in calle Garafia, Vecindario-Paredilla-Sardina, Santa Lucía de Tirajana",Gran Canaria,Santa Lucía de Tirajana,140000,3,96,https://www.idealista.com/en/inmueble/88672102/,2020-10-01,sale
"Duplex in carretera de San Lorenzo., San Lorenzo, Las Palmas de Gran Canaria",Gran Canaria,Las Palmas de Gran Canaria,165000,3,120,https://www.idealista.com/en/inmueble/90774997/,2020-10-01,sale
"Flat / Apartment in calle Gánigo, 23, Ingenio",Gran Canaria,Ingenio,110000,3,98,https://www.idealista.com/en/inmueble/85427520/,2020-10-01,sale
"Flat / Apartment in calle Archipiélago Canario, 30, Agüimes",Gran Canaria,Agüimes,135000,3,78,https://www.idealista.com/en/inmueble/90924682/,2020-10-01,sale
"Flat / Apartment in Faycanes, 87, Cruce de Arinaga, Agüimes",Gran Canaria,Agüimes,123900,2,80,https://www.idealista.com/en/inmueble/91214230/,2020-10-01,sale
"Flat / Apartment in Bilbao, 35, Vecindario-Los Llanos, Santa Lucía de Tirajana",Gran Canaria,Santa Lucía de Tirajana,126500,4,120,https://www.idealista.com/en/inmueble/91125070/,2020-10-01,sale
"Flat / Apartment in calle de Pío X, 53, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana",Gran Canaria,Santa Lucía de Tirajana,140000,3,101,https://www.idealista.com/en/inmueble/84473364/,2020-10-01,sale
"Flat / Apartment in Vecindario, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana",Gran Canaria,Santa Lucía de Tirajana,172000,3,90,https://www.idealista.com/en/inmueble/88340651/,2020-10-01,sale
"Flat / Apartment in MARIANAO, NN, San Juan de Dios-Salto del Negro-Playa de la Laja, Las Palmas de Gran Canaria",Gran Canaria,Las Palmas de Gran Canaria,139000,3,100,https://www.idealista.com/en/inmueble/88933688/,2020-10-01,sale
"Flat / Apartment in Santidad, Arucas",Gran Canaria,Arucas,180000,2,70,https://www.idealista.com/en/inmueble/88549666/,2020-10-01,sale
"Penthouse in Las Mesas - El Toscón, Las Palmas de Gran Canaria",Gran Canaria,Las Palmas de Gran Canaria,179000,3,113,https://www.idealista.com/en/inmueble/91145409/,2020-10-01,sale
"Flat / Apartment in calle León y Castillo, 162, Arenales - Lugo - Avda Marítima, Las Palmas de Gran Canaria",Gran Canaria,Las Palmas de Gran Canaria,185000,2,70,https://www.idealista.com/en/inmueble/90961947/,2020-10-01,sale
"Flat / Apartment in calle Antoñito el Molinero, 23, Mogán",Gran Canaria,Mogán,199000,2,70,https://www.idealista.com/en/inmueble/90029745/,2020-10-01,sale
"Flat / Apartment in avenida Atlántica, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana",Gran Canaria,Santa Lucía de Tirajana,189000,3,121,https://www.idealista.com/en/inmueble/90659924/,2020-10-01,sale
"Penthouse in Salamanca, 50, San Juan de Dios-Salto del Negro-Playa de la Laja, Las Palmas de Gran Canaria",Gran Canaria,Las Palmas de Gran Canaria,105000,2,65,https://www.idealista.com/en/inmueble/90807552/,2020-10-01,sale
"Flat / Apartment in avenida del Atlántico, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana",Gran Canaria,Santa Lucía de Tirajana,165000,3,120,https://www.idealista.com/en/inmueble/89708287/,2020-10-01,sale
